session_pitch,session,p_throws,pitch_type,pitch_speed_mph,max_shoulder_internal_rotational_velo,max_elbow_extension_velo,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,max_elbow_flexion,max_shoulder_external_rotation,elbow_flexion_fp,elbow_pronation_fp,rotation_hip_shoulder_separation_fp,shoulder_horizontal_abduction_fp,shoulder_abduction_fp,shoulder_external_rotation_fp,lead_knee_extension_angular_velo_fp,lead_knee_extension_angular_velo_br,lead_knee_extension_angular_velo_max,torso_anterior_tilt_fp,torso_lateral_tilt_fp,torso_rotation_fp,pelvis_anterior_tilt_fp,pelvis_lateral_tilt_fp,pelvis_rotation_fp,max_cog_velo_x,torso_rotation_min,max_pelvis_rotational_velo,glove_shoulder_horizontal_abduction_fp,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,glove_shoulder_abduction_mer,elbow_flexion_mer,torso_anterior_tilt_mer,torso_lateral_tilt_mer,torso_rotation_mer,elbow_varus_moment,shoulder_internal_rotation_moment,torso_anterior_tilt_br,torso_lateral_tilt_br,torso_rotation_br,lead_knee_extension_from_fp_to_br,cog_velo_pkh,stride_length,stride_angle,arm_slot,timing_peak_torso_to_peak_pelvis_rot_velo,max_shoulder_horizontal_abduction,shoulder_transfer_fp_br,shoulder_generation_fp_br,shoulder_absorption_fp_br,elbow_transfer_fp_br,elbow_generation_fp_br,elbow_absorption_fp_br,lead_hip_transfer_fp_br,lead_hip_generation_fp_br,lead_hip_absorption_fp_br,lead_knee_transfer_fp_br,lead_knee_generation_fp_br,lead_knee_absorption_fp_br,rear_hip_transfer_pkh_fp,rear_hip_generation_pkh_fp,rear_hip_absorption_pkh_fp,rear_knee_transfer_pkh_fp,rear_knee_generation_pkh_fp,rear_knee_absorption_pkh_fp,pelvis_lumbar_transfer_fp_br,thorax_distal_transfer_fp_br,rear_grf_x_max,rear_grf_y_max,rear_grf_z_max,rear_grf_mag_max,rear_grf_angle_at_max,lead_grf_x_max,lead_grf_y_max,lead_grf_z_max,lead_grf_mag_max,lead_grf_angle_at_max,peak_rfd_rear,peak_rfd_lead
1313_2,1313,R,FF,85.9,4746.3833,2611.5116,1201.3612,39.7564,128.9586,159.9967,127.2415,14.7631,38.2129,49.3646,74.1014,28.3922,-260.8798,365.6292,396.3889,-3.1785,-8.3675,-3.1045,14.2662,1.4858,34.3614,3.1293,-34.2827,857.9975,31.2579,84.7649,-60.2375,30.5776,75.5538,20.7629,25.7325,121.6518,121.4944,117.5958,35.6842,17.9679,131.9413,7.9452,0.2143,0.8999,-3.7634,42.8625,0.0167,75.8228,296.415,1.8522,66.2701,277.7552,11.0443,18.7717,82.5589,37.0792,93.6791,44.6124,65.7764,33.9912,124.7393,174.9833,63.4132,72.711,47.495,36.9174,67.012,359.5104,838.7053,180.1685,1087.2128,1365.5908,52.7702,1106.1737,123.1064,1941.0692,2236.9744,60.3899,4.2508,28.6415
1313_3,1313,R,FF,85.8,4790.539,2602.2304,1190.8503,41.0581,128.6674,163.6532,127.3359,12.4796,39.2183,48.8967,77.8842,29.1694,-193.302,372.7272,395.4072,-3.2837,-8.8933,-5.7589,14.1369,1.5688,32.6341,3.039,-32.6177,848.0982,30.9382,82.9529,-59.0543,29.9911,75.2646,21.8513,25.8505,120.8768,144.6265,135.0781,36.2194,17.5345,131.9855,14.45,0.1964,0.8683,-4.7763,43.443,0.0139,73.9714,304.2037,1.7343,78.3226,290.9866,29.892,47.4327,91.8976,36.401,80.8426,49.6586,73.926,35.3977,130.2319,175.9136,60.7394,76.3933,50.1095,39.4047,54.4367,371.7777,874.8932,199.4555,1111.3792,1411.4514,52.0428,1007.1274,130.5989,1936.1472,2184.2187,62.8015,5.4488,34.0606
1346_1,1346,R,FF,84.6,5038.9421,2802.1296,1152.9967,40.9342,124.6306,181.1754,108.2677,23.2172,40.9342,53.4195,93.2323,33.8851,10.4606,179.9417,515.9114,-13.9265,5.0469,-0.745,6.1038,3.6821,41.1683,3.2749,-36.5105,730.8038,42.1304,77.3161,-21.7049,39.5285,94.5264,32.311,27.9407,116.3407,83.8442,76.7728,48.1053,18.6014,129.4229,34.0138,0.2183,0.896,3.3961,43.3237,0.0139,53.8909,256.3051,12.2904,22.9597,251.2652,2.5537,49.9022,80.4356,5.4934,69.6717,61.3369,44.1545,7.4447,100.4945,146.5395,41.1403,64.2026,41.0383,35.9773,120.255,279.2647,714.9512,33.2265,888.8982,1116.1997,51.5675,982.3134,111.7003,1127.6517,1493.0492,48.9284,2.5008,42.5028
1346_2,1346,R,FF,84.5,5412.5614,2846.3691,1158.6598,41.5219,124.8584,181.247,106.8103,23.8923,41.4364,52.5763,93.7792,29.9947,51.2164,195.4117,606.3839,-12.8311,3.4769,-3.912,3.9376,4.944,38.0058,3.1657,-39.2187,817.4052,44.9871,77.3455,-23.4735,40.0704,93.6116,32.5674,27.7594,116.323,85.9172,81.667,47.1318,19.6318,128.5389,38.1721,0.1786,0.872,4.3453,46.0595,0.0056,53.7841,259.3172,10.295,22.7757,252.2318,3.5611,49.08,72.8328,8.8868,60.6009,58.8374,42.5285,9.1933,95.1907,157.5508,43.0866,64.88,26.7694,36.6269,136.4182,282.0929,660.4068,48.2067,864.5939,1076.3973,53.0783,947.2371,152.5032,1163.9547,1496.3851,51.0433,2.6798,45.2217
1346_3,1346,R,FF,84.8,4992.0132,2948.1106,1150.8842,43.4676,125.8747,180.423,108.054,25.5423,43.4178,53.7096,95.1157,27.257,115.0342,146.8333,546.58,-11.4787,3.3509,-3.4321,6.1294,3.3979,40.5144,3.1293,-36.4258,768.8368,39.7463,78.8797,-18.2912,40.4907,93.8973,31.1075,25.8123,116.918,84.5584,77.4744,45.1712,17.7542,128.4527,34.8785,0.1786,0.8783,3.8597,44.1021,0.0056,54.9928,253.9354,8.5651,21.9813,245.4362,2.3163,46.2989,73.3298,14.9277,71.2348,56.161,42.0522,12.0138,96.4354,144.5623,38.1782,65.5596,34.8369,28.6139,119.5039,275.9168,638.4764,37.639,843.3563,1034.9953,53.3128,977.3276,134.8162,1226.3619,1568.5685,51.4342,2.7382,54.2327
1370_1,1370,R,FF,87.8,4378.9195,2233.9898,1152.4505,28.4991,106.6919,156.3049,95.9804,23.902,28.4991,45.3359,85.868,47.1563,221.4994,475.2245,490.8645,2.3309,-7.7649,4.1955,24.4865,1.3556,32.6846,2.911,-34.0422,849.2158,42.7488,72.2921,-39.0216,32.7486,84.2468,20.9755,16.3177,113.5282,143.4115,145.3004,37.0083,6.935,125.1408,23.866,0.1429,0.8212,6.8196,38.934,0.0083,56.1419,388.613,42.5345,36.7178,381.1959,7.2955,54.8845,,,,,,,,,,,,,,425.3308,,,,,,,,,,,,
1370_2,1370,R,FF,86.9,4378.0302,2222.6486,1128.4979,29.2075,107.0956,158.2781,95.4975,20.9519,28.0158,47.4607,77.9161,40.8767,15.6524,440.5649,520.3264,7.4804,-7.9218,-8.0962,24.8838,2.5998,20.8489,3.0026,-35.9896,804.6168,45.5751,77.1716,-40.4189,31.5714,81.57,23.6557,17.5923,115.2973,141.5945,143.353,38.5885,9.0007,125.1518,10.5046,0.2008,0.8531,7.7095,44.5495,0.0167,61.4977,395.2574,36.4721,33.6367,379.88,6.3875,46.1824,61.4443,45.1858,52.424,47.3267,49.4332,30.8695,154.1863,159.3829,56.4765,85.2728,57.0362,43.2954,160.7699,428.8941,1086.3612,89.2955,1657.5373,1951.4822,57.4276,1198.1876,296.4743,2067.6514,2393.5358,60.0174,7.3462,54.5979
1370_3,1370,R,FF,86.9,4476.5891,2221.3792,1180.0418,28.6646,106.0064,158.9088,97.3607,23.4679,28.586,45.7115,83.6815,51.4473,162.0947,502.4437,559.5884,0.9298,-8.6769,5.1375,22.8703,0.3806,33.4929,2.911,-34.5253,884.025,42.5864,69.2236,-38.5218,31.2066,85.5973,20.8654,16.7619,110.9071,140.8044,142.7132,37.0834,8.2042,122.3491,23.527,0.1631,0.8341,5.639,41.4121,0.0084,58.3429,385.7808,34.2694,36.3208,385.0551,6.4491,47.9142,68.5538,19.3053,61.8768,73.2981,37.9696,7.3277,143.4639,194.087,71.2296,71.3775,57.2722,41.1859,121.1622,422.1016,1031.4147,90.8788,1691.493,1956.7596,59.4277,1300.4097,439.0118,2320.4255,2674.3281,60.7947,11.3751,98.8835
1371_2,1371,L,FF,87.4,4470.4298,2554.5219,1036.2166,31.2807,124.9862,176.3965,93.5293,37.3275,30.2469,54.5165,90.7882,36.4289,-178.7536,267.9336,297.536,-5.7272,-10.1327,-4.2199,11.0694,-10.0645,26.7933,3.3841,-32.4432,650.1463,18.0862,80.1078,-36.8815,27.209,106.4774,8.7875,15.2572,97.5363,106.9793,98.9589,26.419,9.9492,113.858,-4.324,0.8571,0.8897,-1.779,38.2412,0.0055,54.7356,392.6409,55.8012,6.6689,398.1099,4.3194,79.6227,37.334,18.888,132.5253,9.8635,51.1746,70.22,124.5329,160.9066,56.097,43.9075,67.6843,37.7204,87.2559,399.3097,1144.3725,212.1388,1668.2325,1994.58,56.3202,1149.5742,147.685,1874.7093,2192.3255,58.6547,10.3407,65.1508
1371_3,1371,L,FF,87.8,4472.2029,2526.923,1049.9827,29.8457,123.7532,177.1948,96.7826,35.9775,29.6719,52.947,90.1741,25.5977,-196.6591,281.8391,282.5463,-3.5152,-9.4847,-11.2699,10.3312,-9.5882,18.9766,3.4029,-32.0884,661.7228,20.2096,83.8852,-41.346,26.2677,105.2503,11.2154,15.1557,97.7203,103.0003,96.3547,27.1291,8.6506,113.8337,-4.5271,0.3827,0.8838,0.3587,44.0141,0.0111,54.5161,397.3924,52.6016,8.8864,401.3954,4.9687,77.5226,43.1494,20.2352,137.7738,11.0593,59.7694,72.1495,117.9272,154.6513,51.3187,43.9292,59.9831,28.8137,103.7378,405.1745,1210.6458,228.2694,1684.9481,2036.2475,54.9649,1128.3834,235.4048,1877.9677,2174.0962,59.3006,10.4786,72.8225
1393_1,1393,L,FF,71.3,4296.6623,2726.5314,994.3276,16.1937,129.1739,150.535,123.0936,0.9896,16.0902,19.7078,93.3759,54.1063,207.707,290.0182,291.667,-22.0101,-11.7216,18.0527,-10.1705,-3.5636,32.2019,2.8382,-26.8291,821.222,36.4404,75.8388,-30.2058,38.486,92.3859,9.0913,41.1162,122.4448,98.4841,88.2882,34.2812,31.1524,143.7892,-1.7492,0.1819,0.7916,-8.8481,59.8033,0.0084,22.6615,251.1584,4.0429,46.0198,243.0425,3.2027,34.8154,36.3569,13.6985,115.26,22.8265,15.7657,24.4023,110.8738,121.3334,55.3287,25.5822,95.7823,69.1843,117.7054,296.2083,732.226,113.4209,1211.0342,1398.9998,60.1543,853.7552,106.7987,1669.3614,1872.3979,63.3259,4.2756,55.4583
1393_2,1393,L,FF,69.9,4319.4988,2695.6495,947.3004,13.1602,130.3813,150.36,121.4217,2.0545,13.1602,19.6761,95.0482,49.2743,150.2828,278.0017,284.7172,-18.8094,-13.4159,16.1467,-7.4975,-5.0303,27.23,2.8746,-28.4725,796.6055,47.3036,74.2679,-37.6582,36.6738,94.1885,9.7598,39.066,122.6667,94.8205,85.0474,34.4952,29.7153,144.4256,-1.2455,0.1429,0.7879,-10.1346,60.3766,0.0361,23.6921,242.7314,4.6424,39.575,231.6929,3.0098,32.3959,38.1236,10.4366,120.1142,29.83,18.3192,22.8213,116.0958,119.2704,64.6872,36.6868,91.1199,70.9063,107.2062,281.9435,724.2596,120.74,1207.7295,1381.3098,61.0198,817.7767,103.8212,1621.789,1809.7476,64.1741,6.1852,46.1355
1393_3,1393,L,FF,69.5,4320.9953,2663.0325,968.5634,15.9429,129.1579,151.2893,123.7818,4.087,15.2234,21.4609,93.2657,58.5757,270.3678,251.6014,270.3678,-24.1345,-10.0775,25.4736,-7.8923,-1.7857,38.4945,2.8746,-24.0064,843.1648,43.9396,74.6227,-38.9203,41.2566,94.3633,7.9801,36.4045,122.5055,91.9207,82.2816,31.4787,27.9328,142.0425,-4.9586,0.1964,0.8193,-8.1327,57.5123,0.0028,23.0752,232.9959,5.839,34.3867,228.1143,3.0682,35.2964,28.624,9.5883,117.5439,16.5385,12.6946,30.6113,116.3826,131.1502,54.0651,33.2025,96.1673,66.7795,105.2864,267.1727,747.9013,128.8169,1202.5167,1387.3076,59.884,909.2051,90.8989,1622.0423,1859.8787,60.9636,5.4087,44.2339
1394_1,1394,R,FF,86.3,4924.019,2545.0998,1041.423,27.8676,113.6798,169.2997,105.7132,48.196,27.7378,46.992,91.3531,34.4183,-105.0278,352.5496,482.5451,-20.1406,-1.2012,3.05,4.8053,7.4258,29.5002,2.8922,-31.9224,696.6869,33.2847,93.3703,-51.1587,40.3044,87.7738,21.4938,39.2337,109.3298,121.9463,117.9363,42.61,30.5094,124.5956,14.657,0.3393,0.8104,1.7493,50.2536,0.0278,49.0446,373.0587,42.7738,37.0278,374.5595,4.3012,47.7717,72.4768,6.1058,74.7654,36.7591,74.5443,9.0358,69.6711,179.3477,78.5878,63.4714,35.4791,25.9826,121.0579,410.0865,814.7943,83.0002,1259.0907,1469.7092,57.8083,1030.4968,284.5311,1812.813,2090.9789,60.4315,7.1834,42.2332
1394_2,1394,R,FF,86.7,4886.0786,2588.7563,1034.0795,28.2601,114.4972,170.0083,105.6932,51.8435,28.2601,46.4177,91.0088,29.9625,6.2427,388.9926,506.6609,-19.6261,0.2952,-0.0448,3.5796,8.9584,26.9883,3.0202,-30.7275,717.6593,32.5797,94.2175,-51.6846,43.6686,88.2715,25.852,40.5457,109.5202,120.3551,116.2078,46.9438,32.0301,123.9988,15.5418,0.3036,0.8246,2.5596,50.131,0.0333,50.5484,362.2623,43.4643,42.536,368.3347,5.5517,50.6365,87.2365,21.6858,83.7536,48.8311,83.7885,15.0369,73.8037,189.4494,86.1037,59.3777,42.1977,33.2422,147.3653,404.7984,796.2126,82.8917,1245.3331,1415.4326,61.1093,1051.2446,367.0243,1764.8982,2070.7542,59.2751,5.957,49.1293
1394_3,1394,R,FF,86.8,4986.0166,2536.0537,1032.7659,27.8057,116.2779,171.4072,105.191,53.0661,27.764,44.9372,92.1267,28.0932,-68.808,372.413,409.794,-19.0232,-0.5589,-2.2804,3.1482,8.5081,24.0628,2.9663,-31.0636,732.6581,32.3279,94.9858,-50.9973,41.2477,86.9307,28.747,41.8545,112.8337,117.374,112.2029,48.2527,32.8497,125.7483,14.3316,0.3036,0.8157,3.4363,45.5898,0.0306,49.7918,361.7988,55.2005,37.7818,365.7557,5.327,62.7303,77.4214,11.865,74.396,43.8862,81.6669,15.5787,75.6618,185.2959,77.876,59.4527,39.0066,36.8447,142.6492,399.5806,807.621,71.836,1229.9515,1425.0792,58.8739,1028.7238,323.4063,1817.7053,2101.9684,60.6134,6.0963,37.3205
1403_1,1403,R,FF,78.7,4114.833,2119.5785,985.7907,28.9473,134.3779,179.194,134.3778,-18.4009,28.9139,27.6105,83.9263,55.4327,81.3826,276.3645,463.0228,-2.8057,-11.2537,-7.5514,0.6953,0.7148,20.4145,2.8935,-34.9103,686.6251,31.0497,64.0978,-35.134,32.4708,101.3297,15.6713,30.9833,87.1595,72.2094,69.0642,40.7624,24.2749,110.587,7.0863,0.3393,0.8319,13.3353,52.2796,0.0111,27.6718,249.7014,28.9822,21.8231,258.4705,0.6762,51.278,26.912,69.1411,13.1279,13.5263,1.1137,0.8739,38.175,95.4617,50.5624,27.8178,28.0595,14.8693,204.2017,271.5245,609.3777,102.7699,1048.11,1195.162,60.1738,833.6208,312.6746,1365.3656,1626.7808,58.5878,6.8773,51.6733
1403_2,1403,R,FF,78.6,4110.2161,2215.3281,1006.9553,31.9787,134.164,179.7406,134.0843,-18.4221,31.5161,28.2919,85.6108,54.5317,121.2015,277.8958,431.2744,-3.3866,-10.1134,-5.4608,0.4521,-0.6964,25.3789,2.8746,-32.4242,706.5751,35.0107,68.0598,-44.5166,31.7932,104.5175,16.2473,29.7461,90.6602,73.2088,68.8255,40.5258,23.8671,113.2123,7.4095,0.3393,0.8124,11.3191,50.9833,0.0027,29.471,240.633,29.9066,22.3995,249.0789,0.6408,53.6452,25.4361,59.9334,11.1792,12.7372,1.296,1.3076,43.1813,94.6568,46.6169,29.1931,32.8745,25.9784,190.1052,263.0325,604.0706,95.9978,1122.9131,1268.3069,62.3272,859.2376,241.5256,1301.9622,1560.6371,56.6982,7.0397,52.4992
1403_3,1403,R,FF,77.9,4121.7197,2171.3075,1013.7085,31.0139,136.1203,179.8952,135.4125,-21.2945,30.2814,29.1571,83.7017,58.117,213.5867,326.4465,534.1873,-7.0785,-9.3195,-4.7238,1.6779,0.4863,24.4626,2.8922,-33.5225,687.7487,35.4635,63.6963,-47.0848,31.6741,101.8386,16.114,32.436,86.7571,75.1189,71.0638,41.8682,25.9175,109.5972,9.1199,0.375,0.8353,14.3212,50.4383,0.0111,29.3182,246.4785,32.1112,23.5962,258.2485,0.666,54.7615,27.2234,71.9227,13.2653,13.4636,0.8626,4.0173,54.7713,115.7381,48.293,31.1687,40.4261,21.4137,190.2605,270.0747,603.6213,104.7683,1040.6825,1162.4089,60.9331,871.7686,321.5798,1347.3453,1633.1738,57.1211,6.1752,75.5874
